Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,ATL,"Wed, Oct 19, 2022",7:30p,Home,Houston Rockets,Win,Normal,117,107,1,0,W 1
2023,ATL,"Fri, Oct 21, 2022",7:30p,Home,Orlando Magic,Win,Normal,108,98,2,0,W 2
2023,ATL,"Sun, Oct 23, 2022",5:00p,Home,Charlotte Hornets,Loss,Normal,109,126,2,1,L 1
2023,ATL,"Wed, Oct 26, 2022",7:00p,Away,Detroit Pistons,Win,Normal,118,113,3,1,W 1
2023,ATL,"Fri, Oct 28, 2022",7:00p,Away,Detroit Pistons,Win,Normal,136,112,4,1,W 2
2023,ATL,"Sat, Oct 29, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,115,123,4,2,L 1
2023,ATL,"Mon, Oct 31, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,109,139,4,3,L 2
2023,ATL,"Wed, Nov 2, 2022",7:30p,Away,New York Knicks,Win,Normal,112,99,5,3,W 1
2023,ATL,"Sat, Nov 5, 2022",7:30p,Home,New Orleans Pelicans,Win,Overtime,124,121,6,3,W 2
2023,ATL,"Mon, Nov 7, 2022",8:15p,Home,Milwaukee Bucks,Win,Normal,117,98,7,3,W 3
2023,ATL,"Wed, Nov 9, 2022",7:30p,Home,Utah Jazz,Loss,Normal,119,125,7,4,L 1
2023,ATL,"Thu, Nov 10, 2022",7:30p,Home,Philadelphia 76ers,Win,Normal,104,95,8,4,W 1
2023,ATL,"Sat, Nov 12, 2022",7:30p,Away,Philadelphia 76ers,Loss,Normal,109,121,8,5,L 1
2023,ATL,"Mon, Nov 14, 2022",8:00p,Away,Milwaukee Bucks,Win,Normal,121,106,9,5,W 1
2023,ATL,"Wed, Nov 16, 2022",7:30p,Home,Boston Celtics,Loss,Normal,101,126,9,6,L 1
2023,ATL,"Sat, Nov 19, 2022",6:00p,Home,Toronto Raptors,Win,Overtime,124,122,10,6,W 1
2023,ATL,"Mon, Nov 21, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,102,114,10,7,L 1
2023,ATL,"Wed, Nov 23, 2022",7:30p,Home,Sacramento Kings,Win,Normal,115,106,11,7,W 1
2023,ATL,"Fri, Nov 25, 2022",8:00p,Away,Houston Rockets,Loss,Normal,122,128,11,8,L 1
2023,ATL,"Sun, Nov 27, 2022",5:00p,Home,Miami Heat,Loss,Normal,98,106,11,9,L 2
2023,ATL,"Mon, Nov 28, 2022",7:00p,Away,Philadelphia 76ers,Loss,Normal,101,104,11,10,L 3
2023,ATL,"Wed, Nov 30, 2022",7:00p,Away,Orlando Magic,Win,Normal,125,108,12,10,W 1
2023,ATL,"Fri, Dec 2, 2022",7:30p,Home,Denver Nuggets,Win,Normal,117,109,13,10,W 2
2023,ATL,"Mon, Dec 5, 2022",7:30p,Home,Oklahoma City Thunder,Loss,Normal,114,121,13,11,L 1
2023,ATL,"Wed, Dec 7, 2022",7:30p,Away,New York Knicks,Loss,Normal,89,113,13,12,L 2
2023,ATL,"Fri, Dec 9, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,116,120,13,13,L 3
2023,ATL,"Sun, Dec 11, 2022",6:30p,Home,Chicago Bulls,Win,Overtime,123,122,14,13,W 1
2023,ATL,"Mon, Dec 12, 2022",8:00p,Away,Memphis Grizzlies,Loss,Normal,103,128,14,14,L 1
2023,ATL,"Wed, Dec 14, 2022",7:00p,Away,Orlando Magic,Loss,Normal,124,135,14,15,L 2
2023,ATL,"Fri, Dec 16, 2022",7:00p,Away,Charlotte Hornets,Win,Normal,125,106,15,15,W 1
2023,ATL,"Mon, Dec 19, 2022",7:30p,Home,Orlando Magic,Win,Normal,126,125,16,15,W 2
2023,ATL,"Wed, Dec 21, 2022",7:30p,Home,Chicago Bulls,Loss,Normal,108,110,16,16,L 1
2023,ATL,"Fri, Dec 23, 2022",7:30p,Home,Detroit Pistons,Win,Normal,130,105,17,16,W 1
2023,ATL,"Tue, Dec 27, 2022",7:30p,Away,Indiana Pacers,Loss,Normal,114,129,17,17,L 1
2023,ATL,"Wed, Dec 28, 2022",7:30p,Home,Brooklyn Nets,Loss,Normal,107,108,17,18,L 2
2023,ATL,"Fri, Dec 30, 2022",7:30p,Home,Los Angeles Lakers,Loss,Normal,121,130,17,19,L 3
2023,ATL,"Mon, Jan 2, 2023",10:00p,Away,Golden State Warriors,Loss,Normal,141,143,17,20,L 4
2023,ATL,"Wed, Jan 4, 2023",10:00p,Away,Sacramento Kings,Win,Normal,120,117,18,20,W 1
2023,ATL,"Fri, Jan 6, 2023",10:30p,Away,Los Angeles Lakers,Loss,Normal,114,130,18,21,L 1
2023,ATL,"Sun, Jan 8, 2023",9:00p,Away,Los Angeles Clippers,Win,Normal,112,108,19,21,W 1
2023,ATL,"Wed, Jan 11, 2023",7:30p,Home,Milwaukee Bucks,Loss,Normal,105,114,19,22,L 1
2023,ATL,"Fri, Jan 13, 2023",7:00p,Away,Indiana Pacers,Win,Normal,113,111,20,22,W 1
2023,ATL,"Sat, Jan 14, 2023",7:30p,Away,Toronto Raptors,Win,Normal,114,103,21,22,W 2
2023,ATL,"Mon, Jan 16, 2023",3:30p,Home,Miami Heat,Win,Normal,121,113,22,22,W 3
2023,ATL,"Wed, Jan 18, 2023",7:30p,Away,Dallas Mavericks,Win,Normal,130,122,23,22,W 4
2023,ATL,"Fri, Jan 20, 2023",7:30p,Home,New York Knicks,Win,Normal,139,124,24,22,W 5
2023,ATL,"Sat, Jan 21, 2023",7:30p,Home,Charlotte Hornets,Loss,Normal,118,122,24,23,L 1
2023,ATL,"Mon, Jan 23, 2023",8:00p,Away,Chicago Bulls,Loss,Normal,100,111,24,24,L 2
2023,ATL,"Wed, Jan 25, 2023",8:00p,Away,Oklahoma City Thunder,Win,Normal,137,132,25,24,W 1
2023,ATL,"Sat, Jan 28, 2023",7:30p,Home,Los Angeles Clippers,Loss,Normal,113,120,25,25,L 1
2023,ATL,"Mon, Jan 30, 2023",10:00p,Away,Portland Trail Blazers,Loss,Normal,125,129,25,26,L 2
2023,ATL,"Wed, Feb 1, 2023",10:00p,Away,Phoenix Suns,Win,Normal,132,100,26,26,W 1
2023,ATL,"Fri, Feb 3, 2023",9:00p,Away,Utah Jazz,Win,Normal,115,108,27,26,W 2
2023,ATL,"Sat, Feb 4, 2023",9:00p,Away,Denver Nuggets,Loss,Normal,108,128,27,27,L 1
2023,ATL,"Tue, Feb 7, 2023",7:30p,Away,New Orleans Pelicans,Loss,Normal,107,116,27,28,L 2
