Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,BOS,"Tue, Oct 18, 2022",7:30p,Home,Philadelphia 76ers,Win,Normal,126,117,1,0,W 1
2023,BOS,"Fri, Oct 21, 2022",7:30p,Away,Miami Heat,Win,Normal,111,104,2,0,W 2
2023,BOS,"Sat, Oct 22, 2022",7:00p,Away,Orlando Magic,Win,Normal,126,120,3,0,W 3
2023,BOS,"Mon, Oct 24, 2022",8:00p,Away,Chicago Bulls,Loss,Normal,102,120,3,1,L 1
2023,BOS,"Fri, Oct 28, 2022",7:30p,Home,Cleveland Cavaliers,Loss,Overtime,123,132,3,2,L 2
2023,BOS,"Sun, Oct 30, 2022",6:00p,Home,Washington Wizards,Win,Normal,112,94,4,2,W 1
2023,BOS,"Wed, Nov 2, 2022",7:30p,Away,Cleveland Cavaliers,Loss,Overtime,113,114,4,3,L 1
2023,BOS,"Fri, Nov 4, 2022",7:30p,Home,Chicago Bulls,Win,Normal,123,119,5,3,W 1
2023,BOS,"Sat, Nov 5, 2022",7:30p,Away,New York Knicks,Win,Normal,133,118,6,3,W 2
2023,BOS,"Mon, Nov 7, 2022",9:00p,Away,Memphis Grizzlies,Win,Normal,109,106,7,3,W 3
2023,BOS,"Wed, Nov 9, 2022",7:30p,Home,Detroit Pistons,Win,Normal,128,112,8,3,W 4
2023,BOS,"Fri, Nov 11, 2022",7:00p,Home,Denver Nuggets,Win,Normal,131,112,9,3,W 5
2023,BOS,"Sat, Nov 12, 2022",7:00p,Away,Detroit Pistons,Win,Normal,117,108,10,3,W 6
2023,BOS,"Mon, Nov 14, 2022",7:30p,Home,Oklahoma City Thunder,Win,Normal,126,122,11,3,W 7
2023,BOS,"Wed, Nov 16, 2022",7:30p,Away,Atlanta Hawks,Win,Normal,126,101,12,3,W 8
2023,BOS,"Fri, Nov 18, 2022",8:30p,Away,New Orleans Pelicans,Win,Normal,117,109,13,3,W 9
2023,BOS,"Mon, Nov 21, 2022",8:00p,Away,Chicago Bulls,Loss,Normal,107,121,13,4,L 1
2023,BOS,"Wed, Nov 23, 2022",7:30p,Home,Dallas Mavericks,Win,Normal,125,112,14,4,W 1
2023,BOS,"Fri, Nov 25, 2022",8:00p,Home,Sacramento Kings,Win,Normal,122,104,15,4,W 2
2023,BOS,"Sun, Nov 27, 2022",6:00p,Home,Washington Wizards,Win,Normal,130,121,16,4,W 3
2023,BOS,"Mon, Nov 28, 2022",7:30p,Home,Charlotte Hornets,Win,Normal,140,105,17,4,W 4
2023,BOS,"Wed, Nov 30, 2022",7:30p,Home,Miami Heat,Win,Normal,134,121,18,4,W 5
2023,BOS,"Fri, Dec 2, 2022",7:30p,Home,Miami Heat,Loss,Overtime,116,120,18,5,L 1
2023,BOS,"Sun, Dec 4, 2022",6:00p,Away,Brooklyn Nets,Win,Normal,103,92,19,5,W 1
2023,BOS,"Mon, Dec 5, 2022",7:30p,Away,Toronto Raptors,Win,Normal,116,110,20,5,W 2
2023,BOS,"Wed, Dec 7, 2022",10:00p,Away,Phoenix Suns,Win,Normal,125,98,21,5,W 3
2023,BOS,"Sat, Dec 10, 2022",8:30p,Away,Golden State Warriors,Loss,Normal,107,123,21,6,L 1
2023,BOS,"Mon, Dec 12, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,93,113,21,7,L 2
2023,BOS,"Tue, Dec 13, 2022",10:00p,Away,Los Angeles Lakers,Win,Overtime,122,118,22,7,W 1
2023,BOS,"Fri, Dec 16, 2022",7:30p,Home,Orlando Magic,Loss,Normal,109,117,22,8,L 1
2023,BOS,"Sun, Dec 18, 2022",3:00p,Home,Orlando Magic,Loss,Normal,92,95,22,9,L 2
2023,BOS,"Wed, Dec 21, 2022",7:30p,Home,Indiana Pacers,Loss,Normal,112,117,22,10,L 3
2023,BOS,"Fri, Dec 23, 2022",7:30p,Home,Minnesota Timberwolves,Win,Normal,121,109,23,10,W 1
2023,BOS,"Sun, Dec 25, 2022",5:00p,Home,Milwaukee Bucks,Win,Normal,139,118,24,10,W 2
2023,BOS,"Tue, Dec 27, 2022",7:30p,Home,Houston Rockets,Win,Normal,126,102,25,10,W 3
