Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,CHI,"Wed, Oct 19, 2022",7:30p,Away,Miami Heat,Win,Normal,116,108,1,0,W 1
2023,CHI,"Fri, Oct 21, 2022",7:00p,Away,Washington Wizards,Loss,Normal,100,102,1,1,L 1
2023,CHI,"Sat, Oct 22, 2022",8:00p,Home,Cleveland Cavaliers,Loss,Normal,96,128,1,2,L 2
2023,CHI,"Mon, Oct 24, 2022",8:00p,Home,Boston Celtics,Win,Normal,120,102,2,2,W 1
2023,CHI,"Wed, Oct 26, 2022",8:00p,Home,Indiana Pacers,Win,Normal,124,109,3,2,W 2
2023,CHI,"Fri, Oct 28, 2022",8:30p,Away,San Antonio Spurs,Loss,Normal,124,129,3,3,L 1
2023,CHI,"Sat, Oct 29, 2022",8:00p,Home,Philadelphia 76ers,Loss,Normal,109,114,3,4,L 2
2023,CHI,"Tue, Nov 1, 2022",7:30p,Away,Brooklyn Nets,Win,Normal,108,99,4,4,W 1
2023,CHI,"Wed, Nov 2, 2022",8:00p,Home,Charlotte Hornets,Win,Normal,106,88,5,4,W 2
2023,CHI,"Fri, Nov 4, 2022",7:30p,Away,Boston Celtics,Loss,Normal,119,123,5,5,L 1
2023,CHI,"Sun, Nov 6, 2022",6:00p,Away,Toronto Raptors,Loss,Normal,104,113,5,6,L 2
2023,CHI,"Mon, Nov 7, 2022",8:45p,Home,Toronto Raptors,Win,Normal,111,97,6,6,W 1
2023,CHI,"Wed, Nov 9, 2022",8:00p,Home,New Orleans Pelicans,Loss,Normal,111,115,6,7,L 1
2023,CHI,"Sun, Nov 13, 2022",8:00p,Home,Denver Nuggets,Loss,Normal,103,126,6,8,L 2
2023,CHI,"Wed, Nov 16, 2022",8:00p,Away,New Orleans Pelicans,Loss,Normal,110,124,6,9,L 3
2023,CHI,"Fri, Nov 18, 2022",8:00p,Home,Orlando Magic,Loss,Normal,107,108,6,10,L 4
2023,CHI,"Mon, Nov 21, 2022",8:00p,Home,Boston Celtics,Win,Normal,121,107,7,10,W 1
