Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,CLE,"Wed, Oct 19, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,105,108,0,1,L 1
2023,CLE,"Sat, Oct 22, 2022",8:00p,Away,Chicago Bulls,Win,Normal,128,96,1,1,W 1
2023,CLE,"Sun, Oct 23, 2022",7:00p,Home,Washington Wizards,Win,Overtime,117,107,2,1,W 2
2023,CLE,"Wed, Oct 26, 2022",7:00p,Home,Orlando Magic,Win,Normal,103,92,3,1,W 3
2023,CLE,"Fri, Oct 28, 2022",7:30p,Away,Boston Celtics,Win,Overtime,132,123,4,1,W 4
2023,CLE,"Sun, Oct 30, 2022",6:00p,Home,New York Knicks,Win,Normal,121,108,5,1,W 5
2023,CLE,"Wed, Nov 2, 2022",7:30p,Home,Boston Celtics,Win,Overtime,114,113,6,1,W 6
2023,CLE,"Fri, Nov 4, 2022",7:00p,Away,Detroit Pistons,Win,Normal,112,88,7,1,W 7
2023,CLE,"Sun, Nov 6, 2022",3:30p,Away,Los Angeles Lakers,Win,Normal,114,100,8,1,W 8
2023,CLE,"Mon, Nov 7, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,117,119,8,2,L 1
2023,CLE,"Wed, Nov 9, 2022",10:00p,Away,Sacramento Kings,Loss,Normal,120,127,8,3,L 2
2023,CLE,"Fri, Nov 11, 2022",10:00p,Away,Golden State Warriors,Loss,Normal,101,106,8,4,L 3
2023,CLE,"Sun, Nov 13, 2022",6:00p,Home,Minnesota Timberwolves,Loss,Normal,124,129,8,5,L 4
2023,CLE,"Wed, Nov 16, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,98,113,8,6,L 5
2023,CLE,"Fri, Nov 18, 2022",7:30p,Home,Charlotte Hornets,Win,Normal,132,122,9,6,W 1
2023,CLE,"Sun, Nov 20, 2022",7:00p,Home,Miami Heat,Win,Normal,113,87,10,6,W 2
2023,CLE,"Mon, Nov 21, 2022",7:00p,Home,Atlanta Hawks,Win,Normal,114,102,11,6,W 3
2023,CLE,"Wed, Nov 23, 2022",7:00p,Home,Portland Trail Blazers,Win,Normal,114,96,12,6,W 4
