Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,DAL,"Wed, Oct 19, 2022",10:00p,Away,Phoenix Suns,Loss,Normal,105,107,0,1,L 1
2023,DAL,"Sat, Oct 22, 2022",8:30p,Home,Memphis Grizzlies,Win,Normal,137,96,1,1,W 1
2023,DAL,"Tue, Oct 25, 2022",7:30p,Away,New Orleans Pelicans,Loss,Normal,111,113,1,2,L 1
2023,DAL,"Thu, Oct 27, 2022",7:30p,Away,Brooklyn Nets,Win,Overtime,129,125,2,2,W 1
2023,DAL,"Sat, Oct 29, 2022",9:00p,Home,Oklahoma City Thunder,Loss,Overtime,111,117,2,3,L 1
2023,DAL,"Sun, Oct 30, 2022",7:30p,Home,Orlando Magic,Win,Normal,114,105,3,3,W 1
2023,DAL,"Wed, Nov 2, 2022",8:30p,Home,Utah Jazz,Win,Normal,103,100,4,3,W 2
2023,DAL,"Fri, Nov 4, 2022",8:30p,Home,Toronto Raptors,Win,Normal,111,110,5,3,W 3
2023,DAL,"Mon, Nov 7, 2022",9:45p,Home,Brooklyn Nets,Win,Normal,96,94,6,3,W 4
2023,DAL,"Wed, Nov 9, 2022",5:30p,Away,Orlando Magic,Loss,Normal,87,94,6,4,L 1
2023,DAL,"Thu, Nov 10, 2022",7:00p,Away,Washington Wizards,Loss,Normal,105,113,6,5,L 2
2023,DAL,"Sat, Nov 12, 2022",8:30p,Home,Portland Trail Blazers,Win,Normal,117,112,7,5,W 1
2023,DAL,"Tue, Nov 15, 2022",8:30p,Home,Los Angeles Clippers,Win,Normal,103,101,8,5,W 2
2023,DAL,"Wed, Nov 16, 2022",8:30p,Home,Houston Rockets,Loss,Normal,92,101,8,6,L 1
2023,DAL,"Fri, Nov 18, 2022",8:30p,Home,Denver Nuggets,Win,Normal,127,99,9,6,W 1
2023,DAL,"Sun, Nov 20, 2022",7:30p,Home,Denver Nuggets,Loss,Normal,97,98,9,7,L 1
2023,DAL,"Wed, Nov 23, 2022",7:30p,Away,Boston Celtics,Loss,Normal,112,125,9,8,L 2
2023,DAL,"Sat, Nov 26, 2022",5:00p,Away,Toronto Raptors,Loss,Normal,100,105,9,9,L 3
2023,DAL,"Sun, Nov 27, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,115,124,9,10,L 4
2023,DAL,"Tue, Nov 29, 2022",7:30p,Home,Golden State Warriors,Win,Normal,116,113,10,10,W 1
2023,DAL,"Thu, Dec 1, 2022",7:00p,Away,Detroit Pistons,Loss,Overtime,125,131,10,11,L 1
2023,DAL,"Sat, Dec 3, 2022",12:30p,Away,New York Knicks,Win,Normal,121,100,11,11,W 1
2023,DAL,"Mon, Dec 5, 2022",8:30p,Home,Phoenix Suns,Win,Normal,130,111,12,11,W 2
2023,DAL,"Tue, Dec 6, 2022",10:00p,Away,Denver Nuggets,Win,Normal,116,115,13,11,W 3
2023,DAL,"Fri, Dec 9, 2022",10:00p,Home,Milwaukee Bucks,Loss,Normal,105,106,13,12,L 1
2023,DAL,"Sat, Dec 10, 2022",8:00p,Away,Chicago Bulls,Loss,Normal,115,144,13,13,L 2
2023,DAL,"Mon, Dec 12, 2022",8:30p,Home,Oklahoma City Thunder,Win,Normal,121,114,14,13,W 1
2023,DAL,"Wed, Dec 14, 2022",9:00p,Home,Cleveland Cavaliers,Loss,Normal,90,105,14,14,L 1
2023,DAL,"Fri, Dec 16, 2022",8:30p,Home,Portland Trail Blazers,Win,Normal,130,110,15,14,W 1
2023,DAL,"Sat, Dec 17, 2022",8:00p,Away,Cleveland Cavaliers,Loss,Overtime,99,100,15,15,L 1
