Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,DET,"Wed, Oct 19, 2022",7:00p,Home,Orlando Magic,Win,Normal,113,109,1,0,W 1
2023,DET,"Fri, Oct 21, 2022",7:30p,Away,New York Knicks,Loss,Normal,106,130,1,1,L 1
2023,DET,"Sat, Oct 22, 2022",7:00p,Away,Indiana Pacers,Loss,Normal,115,124,1,2,L 2
2023,DET,"Tue, Oct 25, 2022",7:00p,Away,Washington Wizards,Loss,Normal,99,120,1,3,L 3
2023,DET,"Wed, Oct 26, 2022",7:00p,Home,Atlanta Hawks,Loss,Normal,113,118,1,4,L 4
2023,DET,"Fri, Oct 28, 2022",7:00p,Home,Atlanta Hawks,Loss,Normal,112,136,1,5,L 5
2023,DET,"Sun, Oct 30, 2022",6:00p,Home,Golden State Warriors,Win,Normal,128,114,2,5,W 1
2023,DET,"Mon, Oct 31, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,108,110,2,6,L 1
2023,DET,"Wed, Nov 2, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,91,116,2,7,L 2
2023,DET,"Fri, Nov 4, 2022",7:00p,Home,Cleveland Cavaliers,Loss,Normal,88,112,2,8,L 3
2023,DET,"Mon, Nov 7, 2022",7:30p,Home,Oklahoma City Thunder,Win,Normal,112,103,3,8,W 1
2023,DET,"Wed, Nov 9, 2022",7:30p,Away,Boston Celtics,Loss,Normal,112,128,3,9,L 1
2023,DET,"Fri, Nov 11, 2022",7:30p,Away,New York Knicks,Loss,Normal,112,121,3,10,L 2
2023,DET,"Sat, Nov 12, 2022",7:00p,Home,Boston Celtics,Loss,Normal,108,117,3,11,L 3
2023,DET,"Mon, Nov 14, 2022",7:00p,Home,Toronto Raptors,Loss,Normal,111,115,3,12,L 4
2023,DET,"Thu, Nov 17, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,91,96,3,13,L 5
2023,DET,"Fri, Nov 18, 2022",10:30p,Away,Los Angeles Lakers,Loss,Normal,121,128,3,14,L 6
