Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,GSW,"Tue, Oct 18, 2022",10:00p,Home,Los Angeles Lakers,Win,Normal,123,109,1,0,W 1
2023,GSW,"Fri, Oct 21, 2022",10:00p,Home,Denver Nuggets,Loss,Normal,123,128,1,1,L 1
2023,GSW,"Sun, Oct 23, 2022",8:30p,Home,Sacramento Kings,Win,Normal,130,125,2,1,W 1
2023,GSW,"Tue, Oct 25, 2022",10:00p,Away,Phoenix Suns,Loss,Normal,105,134,2,2,L 1
2023,GSW,"Thu, Oct 27, 2022",10:00p,Home,Miami Heat,Win,Normal,123,110,3,2,W 1
2023,GSW,"Sat, Oct 29, 2022",7:00p,Away,Charlotte Hornets,Loss,Overtime,113,120,3,3,L 1
2023,GSW,"Sun, Oct 30, 2022",6:00p,Away,Detroit Pistons,Loss,Normal,114,128,3,4,L 2
2023,GSW,"Tue, Nov 1, 2022",7:30p,Away,Miami Heat,Loss,Normal,109,116,3,5,L 3
2023,GSW,"Thu, Nov 3, 2022",7:00p,Away,Orlando Magic,Loss,Normal,129,130,3,6,L 4
2023,GSW,"Fri, Nov 4, 2022",8:30p,Away,New Orleans Pelicans,Loss,Normal,105,114,3,7,L 5
2023,GSW,"Mon, Nov 7, 2022",10:00p,Home,Sacramento Kings,Win,Normal,116,113,4,7,W 1
2023,GSW,"Fri, Nov 11, 2022",10:00p,Home,Cleveland Cavaliers,Win,Normal,106,101,5,7,W 2
2023,GSW,"Sun, Nov 13, 2022",9:00p,Away,Sacramento Kings,Loss,Normal,115,122,5,8,L 1
2023,GSW,"Mon, Nov 14, 2022",10:00p,Home,San Antonio Spurs,Win,Normal,132,95,6,8,W 1
2023,GSW,"Wed, Nov 16, 2022",10:00p,Away,Phoenix Suns,Loss,Normal,119,130,6,9,L 1
2023,GSW,"Fri, Nov 18, 2022",10:00p,Home,New York Knicks,Win,Normal,111,101,7,9,W 1
