Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,HOU,"Wed, Oct 19, 2022",7:30p,Away,Atlanta Hawks,Loss,Normal,107,117,0,1,L 1
2023,HOU,"Fri, Oct 21, 2022",8:00p,Home,Memphis Grizzlies,Loss,Normal,122,129,0,2,L 2
2023,HOU,"Sat, Oct 22, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,105,125,0,3,L 3
2023,HOU,"Mon, Oct 24, 2022",8:00p,Home,Utah Jazz,Win,Normal,114,108,1,3,W 1
2023,HOU,"Wed, Oct 26, 2022",9:00p,Away,Utah Jazz,Loss,Normal,101,109,1,4,L 1
2023,HOU,"Fri, Oct 28, 2022",10:00p,Away,Portland Trail Blazers,Loss,Normal,111,125,1,5,L 2
2023,HOU,"Sun, Oct 30, 2022",9:00p,Away,Phoenix Suns,Loss,Normal,109,124,1,6,L 3
2023,HOU,"Mon, Oct 31, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,93,95,1,7,L 4
2023,HOU,"Wed, Nov 2, 2022",8:00p,Home,Los Angeles Clippers,Loss,Normal,101,109,1,8,L 5
2023,HOU,"Sat, Nov 5, 2022",8:00p,Away,Minnesota Timberwolves,Loss,Normal,117,129,1,9,L 6
2023,HOU,"Mon, Nov 7, 2022",7:15p,Away,Orlando Magic,Win,Normal,134,127,2,9,W 1
2023,HOU,"Wed, Nov 9, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,109,116,2,10,L 1
2023,HOU,"Sat, Nov 12, 2022",8:30p,Away,New Orleans Pelicans,Loss,Normal,106,119,2,11,L 2
2023,HOU,"Mon, Nov 14, 2022",8:00p,Home,Los Angeles Clippers,Loss,Normal,106,122,2,12,L 3
2023,HOU,"Wed, Nov 16, 2022",8:30p,Away,Dallas Mavericks,Win,Normal,101,92,3,12,W 1
2023,HOU,"Fri, Nov 18, 2022",8:00p,Home,Indiana Pacers,Loss,Normal,91,99,3,13,L 1
2023,HOU,"Sun, Nov 20, 2022",7:00p,Home,Golden State Warriors,Loss,Normal,120,127,3,14,L 2
2023,HOU,"Fri, Nov 25, 2022",8:00p,Home,Atlanta Hawks,Win,Normal,128,122,4,14,W 1
2023,HOU,"Sat, Nov 26, 2022",8:00p,Home,Oklahoma City Thunder,Win,Normal,118,105,5,14,W 2
2023,HOU,"Mon, Nov 28, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,113,129,5,15,L 1
2023,HOU,"Wed, Nov 30, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,100,120,5,16,L 2
2023,HOU,"Fri, Dec 2, 2022",9:00p,Away,Phoenix Suns,Win,Normal,122,121,6,16,W 1
2023,HOU,"Sat, Dec 3, 2022",8:30p,Away,Golden State Warriors,Loss,Normal,101,120,6,17,L 1
2023,HOU,"Mon, Dec 5, 2022",8:00p,Home,Philadelphia 76ers,Win,Normal,132,123,7,17,W 1
2023,HOU,"Thu, Dec 8, 2022",8:30p,Away,San Antonio Spurs,Loss,Normal,109,118,7,18,L 1
2023,HOU,"Sun, Dec 11, 2022",7:00p,Home,Milwaukee Bucks,Win,Normal,97,92,8,18,W 1
2023,HOU,"Tue, Dec 13, 2022",8:00p,Home,Phoenix Suns,Win,Normal,111,97,9,18,W 2
2023,HOU,"Thu, Dec 15, 2022",8:00p,Home,Miami Heat,Loss,Normal,108,111,9,19,L 1
2023,HOU,"Sat, Dec 17, 2022",8:00p,Home,Portland Trail Blazers,Loss,Normal,95,107,9,20,L 2
2023,HOU,"Mon, Dec 19, 2022",8:00p,Home,San Antonio Spurs,Loss,Normal,105,124,9,21,L 3
2023,HOU,"Wed, Dec 21, 2022",8:00p,Home,Orlando Magic,Loss,Normal,110,116,9,22,L 4
2023,HOU,"Fri, Dec 23, 2022",8:00p,Home,Dallas Mavericks,Loss,Normal,106,112,9,23,L 5
2023,HOU,"Mon, Dec 26, 2022",8:00p,Away,Chicago Bulls,Win,Normal,133,118,10,23,W 1
2023,HOU,"Tue, Dec 27, 2022",7:30p,Away,Boston Celtics,Loss,Normal,102,126,10,24,L 1
2023,HOU,"Thu, Dec 29, 2022",8:30p,Away,Dallas Mavericks,Loss,Normal,114,129,10,25,L 2
2023,HOU,"Sat, Dec 31, 2022",7:00p,Home,New York Knicks,Loss,Normal,88,108,10,26,L 3
2023,HOU,"Mon, Jan 2, 2023",8:00p,Home,Dallas Mavericks,Loss,Normal,106,111,10,27,L 4
2023,HOU,"Wed, Jan 4, 2023",8:00p,Away,New Orleans Pelicans,Loss,Normal,108,119,10,28,L 5
2023,HOU,"Thu, Jan 5, 2023",8:00p,Home,Utah Jazz,Loss,Normal,114,131,10,29,L 6
2023,HOU,"Sun, Jan 8, 2023",7:00p,Home,Minnesota Timberwolves,Loss,Normal,96,104,10,30,L 7
2023,HOU,"Wed, Jan 11, 2023",10:00p,Away,Sacramento Kings,Loss,Normal,115,135,10,31,L 8
2023,HOU,"Fri, Jan 13, 2023",10:00p,Away,Sacramento Kings,Loss,Normal,114,139,10,32,L 9
2023,HOU,"Sun, Jan 15, 2023",3:00p,Away,Los Angeles Clippers,Loss,Normal,100,121,10,33,L 10
