Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,MEM,"Wed, Oct 19, 2022",7:30p,Home,New York Knicks,Win,Overtime,115,112,1,0,W 1
2023,MEM,"Fri, Oct 21, 2022",8:00p,Away,Houston Rockets,Win,Normal,129,122,2,0,W 2
2023,MEM,"Sat, Oct 22, 2022",8:30p,Away,Dallas Mavericks,Loss,Normal,96,137,2,1,L 1
2023,MEM,"Mon, Oct 24, 2022",8:00p,Home,Brooklyn Nets,Win,Normal,134,124,3,1,W 1
2023,MEM,"Thu, Oct 27, 2022",10:00p,Away,Sacramento Kings,Win,Normal,125,110,4,1,W 2
2023,MEM,"Sat, Oct 29, 2022",9:00p,Away,Utah Jazz,Loss,Normal,123,124,4,2,L 1
2023,MEM,"Mon, Oct 31, 2022",9:00p,Away,Utah Jazz,Loss,Normal,105,121,4,3,L 2
2023,MEM,"Wed, Nov 2, 2022",10:00p,Away,Portland Trail Blazers,Win,Normal,111,106,5,3,W 1
2023,MEM,"Fri, Nov 4, 2022",8:00p,Home,Charlotte Hornets,Win,Normal,130,99,6,3,W 2
2023,MEM,"Sun, Nov 6, 2022",6:00p,Home,Washington Wizards,Win,Normal,103,97,7,3,W 3
2023,MEM,"Mon, Nov 7, 2022",9:00p,Home,Boston Celtics,Loss,Normal,106,109,7,4,L 1
2023,MEM,"Wed, Nov 9, 2022",8:00p,Away,San Antonio Spurs,Win,Overtime,124,122,8,4,W 1
2023,MEM,"Fri, Nov 11, 2022",9:30p,Home,Minnesota Timberwolves,Win,Normal,114,103,9,4,W 2
2023,MEM,"Sun, Nov 13, 2022",6:00p,Away,Washington Wizards,Loss,Normal,92,102,9,5,L 1
2023,MEM,"Tue, Nov 15, 2022",7:30p,Away,New Orleans Pelicans,Loss,Normal,102,113,9,6,L 2
2023,MEM,"Fri, Nov 18, 2022",8:00p,Home,Oklahoma City Thunder,Win,Normal,121,110,10,6,W 1
2023,MEM,"Sun, Nov 20, 2022",7:00p,Away,Brooklyn Nets,Loss,Normal,115,127,10,7,L 1
2023,MEM,"Tue, Nov 22, 2022",8:00p,Home,Sacramento Kings,Loss,Normal,109,113,10,8,L 2
2023,MEM,"Fri, Nov 25, 2022",8:00p,Home,New Orleans Pelicans,Win,Normal,132,111,11,8,W 1
2023,MEM,"Sun, Nov 27, 2022",6:00p,Away,New York Knicks,Win,Normal,127,123,12,8,W 2
2023,MEM,"Wed, Nov 30, 2022",8:00p,Away,Minnesota Timberwolves,Loss,Normal,101,109,12,9,L 1
2023,MEM,"Fri, Dec 2, 2022",8:00p,Home,Philadelphia 76ers,Win,Normal,117,109,13,9,W 1
2023,MEM,"Sun, Dec 4, 2022",6:00p,Away,Detroit Pistons,Win,Normal,122,112,14,9,W 2
2023,MEM,"Mon, Dec 5, 2022",8:00p,Home,Miami Heat,Win,Normal,101,93,15,9,W 3
2023,MEM,"Wed, Dec 7, 2022",8:00p,Home,Oklahoma City Thunder,Win,Normal,123,102,16,9,W 4
2023,MEM,"Fri, Dec 9, 2022",8:00p,Home,Detroit Pistons,Win,Normal,114,103,17,9,W 5
2023,MEM,"Mon, Dec 12, 2022",8:00p,Home,Atlanta Hawks,Win,Normal,128,103,18,9,W 6
2023,MEM,"Thu, Dec 15, 2022",8:00p,Home,Milwaukee Bucks,Win,Normal,142,101,19,9,W 7
2023,MEM,"Sat, Dec 17, 2022",8:00p,Away,Oklahoma City Thunder,Loss,Normal,109,115,19,10,L 1
2023,MEM,"Tue, Dec 20, 2022",10:00p,Away,Denver Nuggets,Loss,Normal,91,105,19,11,L 2
2023,MEM,"Fri, Dec 23, 2022",10:00p,Away,Phoenix Suns,Win,Normal,125,100,20,11,W 1
2023,MEM,"Sun, Dec 25, 2022",8:00p,Away,Golden State Warriors,Loss,Normal,109,123,20,12,L 1
2023,MEM,"Tue, Dec 27, 2022",8:00p,Home,Phoenix Suns,Loss,Normal,108,125,20,13,L 2
2023,MEM,"Thu, Dec 29, 2022",7:30p,Away,Toronto Raptors,Win,Normal,119,106,21,13,W 1
2023,MEM,"Sat, Dec 31, 2022",8:00p,Home,New Orleans Pelicans,Win,Normal,116,101,22,13,W 2
2023,MEM,"Sun, Jan 1, 2023",8:00p,Home,Sacramento Kings,Win,Normal,118,108,23,13,W 3
