Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,MIA,"Wed, Oct 19, 2022",7:30p,Home,Chicago Bulls,Loss,Normal,108,116,0,1,L 1
2023,MIA,"Fri, Oct 21, 2022",7:30p,Home,Boston Celtics,Loss,Normal,104,111,0,2,L 2
2023,MIA,"Sat, Oct 22, 2022",8:00p,Home,Toronto Raptors,Win,Normal,112,109,1,2,W 1
2023,MIA,"Mon, Oct 24, 2022",7:30p,Home,Toronto Raptors,Loss,Normal,90,98,1,3,L 1
2023,MIA,"Wed, Oct 26, 2022",10:00p,Away,Portland Trail Blazers,Win,Normal,119,98,2,3,W 1
2023,MIA,"Thu, Oct 27, 2022",10:00p,Away,Golden State Warriors,Loss,Normal,110,123,2,4,L 1
2023,MIA,"Sat, Oct 29, 2022",6:00p,Away,Sacramento Kings,Loss,Normal,113,119,2,5,L 2
2023,MIA,"Tue, Nov 1, 2022",7:30p,Home,Golden State Warriors,Win,Normal,116,109,3,5,W 1
2023,MIA,"Wed, Nov 2, 2022",7:30p,Home,Sacramento Kings,Win,Normal,110,107,4,5,W 2
2023,MIA,"Fri, Nov 4, 2022",7:00p,Away,Indiana Pacers,Loss,Normal,99,101,4,6,L 1
2023,MIA,"Mon, Nov 7, 2022",8:30p,Home,Portland Trail Blazers,Loss,Normal,107,110,4,7,L 2
2023,MIA,"Thu, Nov 10, 2022",7:30p,Home,Charlotte Hornets,Win,Overtime,117,112,5,7,W 1
2023,MIA,"Sat, Nov 12, 2022",8:00p,Home,Charlotte Hornets,Win,Normal,132,115,6,7,W 2
2023,MIA,"Mon, Nov 14, 2022",7:30p,Home,Phoenix Suns,Win,Normal,113,112,7,7,W 3
2023,MIA,"Wed, Nov 16, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,104,112,7,8,L 1
2023,MIA,"Fri, Nov 18, 2022",7:00p,Away,Washington Wizards,Loss,Overtime,106,107,7,9,L 2
2023,MIA,"Sun, Nov 20, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,87,113,7,10,L 3
2023,MIA,"Mon, Nov 21, 2022",8:00p,Away,Minnesota Timberwolves,Loss,Normal,101,105,7,11,L 4
2023,MIA,"Wed, Nov 23, 2022",7:30p,Home,Washington Wizards,Win,Normal,113,105,8,11,W 1
2023,MIA,"Fri, Nov 25, 2022",8:00p,Home,Washington Wizards,Win,Normal,110,107,9,11,W 2
2023,MIA,"Sun, Nov 27, 2022",5:00p,Away,Atlanta Hawks,Win,Normal,106,98,10,11,W 3
2023,MIA,"Wed, Nov 30, 2022",7:30p,Away,Boston Celtics,Loss,Normal,121,134,10,12,L 1
2023,MIA,"Fri, Dec 2, 2022",7:30p,Away,Boston Celtics,Win,Overtime,120,116,11,12,W 1
2023,MIA,"Mon, Dec 5, 2022",8:00p,Away,Memphis Grizzlies,Loss,Normal,93,101,11,13,L 1
2023,MIA,"Tue, Dec 6, 2022",7:30p,Home,Detroit Pistons,Loss,Normal,96,116,11,14,L 2
2023,MIA,"Thu, Dec 8, 2022",7:30p,Home,Los Angeles Clippers,Win,Normal,115,110,12,14,W 1
2023,MIA,"Sat, Dec 10, 2022",5:00p,Home,San Antonio Spurs,Loss,Normal,111,115,12,15,L 1
2023,MIA,"Mon, Dec 12, 2022",7:00p,Away,Indiana Pacers,Win,Normal,87,82,13,15,W 1
2023,MIA,"Wed, Dec 14, 2022",8:00p,Away,Oklahoma City Thunder,Win,Normal,110,108,14,15,W 2
2023,MIA,"Thu, Dec 15, 2022",8:00p,Away,Houston Rockets,Win,Normal,111,108,15,15,W 3
2023,MIA,"Sat, Dec 17, 2022",5:00p,Away,San Antonio Spurs,Win,Normal,111,101,16,15,W 4
2023,MIA,"Tue, Dec 20, 2022",7:30p,Home,Chicago Bulls,Loss,Normal,103,113,16,16,L 1
2023,MIA,"Fri, Dec 23, 2022",8:00p,Home,Indiana Pacers,Loss,Normal,108,111,16,17,L 2
2023,MIA,"Mon, Dec 26, 2022",7:30p,Home,Minnesota Timberwolves,Win,Normal,113,110,17,17,W 1
2023,MIA,"Wed, Dec 28, 2022",7:30p,Home,Los Angeles Lakers,Win,Normal,112,98,18,17,W 2
2023,MIA,"Fri, Dec 30, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,119,124,18,18,L 1
2023,MIA,"Sat, Dec 31, 2022",9:00p,Away,Utah Jazz,Win,Normal,126,123,19,18,W 1
2023,MIA,"Mon, Jan 2, 2023",10:30p,Away,Los Angeles Clippers,Win,Normal,110,100,20,18,W 2
2023,MIA,"Wed, Jan 4, 2023",10:00p,Away,Los Angeles Lakers,Loss,Normal,109,112,20,19,L 1
2023,MIA,"Fri, Jan 6, 2023",10:00p,Away,Phoenix Suns,Win,Normal,104,96,21,19,W 1
2023,MIA,"Sun, Jan 8, 2023",6:00p,Home,Brooklyn Nets,Loss,Normal,101,102,21,20,L 1
2023,MIA,"Tue, Jan 10, 2023",7:30p,Home,Oklahoma City Thunder,Win,Normal,112,111,22,20,W 1
2023,MIA,"Thu, Jan 12, 2023",7:30p,Home,Milwaukee Bucks,Win,Normal,108,102,23,20,W 2
2023,MIA,"Sat, Jan 14, 2023",1:00p,Home,Milwaukee Bucks,Win,Normal,111,95,24,20,W 3
2023,MIA,"Mon, Jan 16, 2023",3:30p,Away,Atlanta Hawks,Loss,Normal,113,121,24,21,L 1
2023,MIA,"Wed, Jan 18, 2023",8:00p,Away,New Orleans Pelicans,Win,Normal,124,98,25,21,W 1
2023,MIA,"Fri, Jan 20, 2023",7:30p,Away,Dallas Mavericks,Loss,Normal,90,115,25,22,L 1
2023,MIA,"Sun, Jan 22, 2023",3:30p,Home,New Orleans Pelicans,Win,Normal,100,96,26,22,W 1
2023,MIA,"Tue, Jan 24, 2023",7:30p,Home,Boston Celtics,Win,Normal,98,95,27,22,W 2
2023,MIA,"Fri, Jan 27, 2023",8:00p,Home,Orlando Magic,Win,Normal,110,105,28,22,W 3
2023,MIA,"Sun, Jan 29, 2023",1:00p,Away,Charlotte Hornets,Loss,Normal,117,122,28,23,L 1
2023,MIA,"Tue, Jan 31, 2023",7:00p,Away,Cleveland Cavaliers,Win,Normal,100,97,29,23,W 1
2023,MIA,"Thu, Feb 2, 2023",7:30p,Away,New York Knicks,Loss,Normal,104,106,29,24,L 1
2023,MIA,"Sat, Feb 4, 2023",8:00p,Away,Milwaukee Bucks,Loss,Normal,115,123,29,25,L 2
2023,MIA,"Wed, Feb 8, 2023",7:30p,Home,Indiana Pacers,Win,Normal,116,111,30,25,W 1
2023,MIA,"Fri, Feb 10, 2023",8:00p,Home,Houston Rockets,Win,Normal,97,95,31,25,W 2
2023,MIA,"Sat, Feb 11, 2023",7:00p,Away,Orlando Magic,Win,Overtime,107,103,32,25,W 3
2023,MIA,"Mon, Feb 13, 2023",7:30p,Home,Denver Nuggets,Loss,Normal,108,112,32,26,L 1
2023,MIA,"Wed, Feb 15, 2023",7:30p,Away,Brooklyn Nets,Loss,Normal,105,116,32,27,L 2
2023,MIA,"Fri, Feb 24, 2023",7:30p,Away,Milwaukee Bucks,Loss,Normal,99,128,32,28,L 3
