Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,MIL,"Thu, Oct 20, 2022",7:30p,Away,Philadelphia 76ers,Win,Normal,90,88,1,0,W 1
2023,MIL,"Sat, Oct 22, 2022",8:00p,Home,Houston Rockets,Win,Normal,125,105,2,0,W 2
2023,MIL,"Wed, Oct 26, 2022",7:30p,Home,Brooklyn Nets,Win,Normal,110,99,3,0,W 3
2023,MIL,"Fri, Oct 28, 2022",8:00p,Home,New York Knicks,Win,Normal,119,108,4,0,W 4
2023,MIL,"Sat, Oct 29, 2022",8:00p,Home,Atlanta Hawks,Win,Normal,123,115,5,0,W 5
2023,MIL,"Mon, Oct 31, 2022",8:00p,Home,Detroit Pistons,Win,Normal,110,108,6,0,W 6
2023,MIL,"Wed, Nov 2, 2022",8:00p,Home,Detroit Pistons,Win,Normal,116,91,7,0,W 7
2023,MIL,"Fri, Nov 4, 2022",10:00p,Away,Minnesota Timberwolves,Win,Normal,115,102,8,0,W 8
2023,MIL,"Sat, Nov 5, 2022",8:00p,Home,Oklahoma City Thunder,Win,Normal,108,94,9,0,W 9
2023,MIL,"Mon, Nov 7, 2022",8:15p,Away,Atlanta Hawks,Loss,Normal,98,117,9,1,L 1
2023,MIL,"Wed, Nov 9, 2022",8:00p,Away,Oklahoma City Thunder,Win,Normal,136,132,10,1,W 1
2023,MIL,"Fri, Nov 11, 2022",8:00p,Away,San Antonio Spurs,Loss,Normal,93,111,10,2,L 1
2023,MIL,"Mon, Nov 14, 2022",8:00p,Home,Atlanta Hawks,Loss,Normal,106,121,10,3,L 2
2023,MIL,"Wed, Nov 16, 2022",8:00p,Home,Cleveland Cavaliers,Win,Normal,113,98,11,3,W 1
2023,MIL,"Fri, Nov 18, 2022",7:30p,Away,Philadelphia 76ers,Loss,Normal,102,110,11,4,L 1
2023,MIL,"Mon, Nov 21, 2022",8:00p,Home,Portland Trail Blazers,Win,Normal,119,111,12,4,W 1
2023,MIL,"Wed, Nov 23, 2022",8:00p,Home,Chicago Bulls,Loss,Normal,113,118,12,5,L 1
2023,MIL,"Fri, Nov 25, 2022",8:00p,Home,Cleveland Cavaliers,Win,Normal,117,102,13,5,W 1
2023,MIL,"Sun, Nov 27, 2022",8:00p,Home,Dallas Mavericks,Win,Normal,124,115,14,5,W 2
2023,MIL,"Wed, Nov 30, 2022",7:30p,Away,New York Knicks,Win,Normal,109,103,15,5,W 3
2023,MIL,"Fri, Dec 2, 2022",7:30p,Home,Los Angeles Lakers,Loss,Normal,129,133,15,6,L 1
2023,MIL,"Sat, Dec 3, 2022",6:00p,Away,Charlotte Hornets,Win,Normal,105,96,16,6,W 1
2023,MIL,"Mon, Dec 5, 2022",7:00p,Away,Orlando Magic,Win,Normal,109,102,17,6,W 2
2023,MIL,"Wed, Dec 7, 2022",8:00p,Home,Sacramento Kings,Win,Normal,126,113,18,6,W 3
2023,MIL,"Fri, Dec 9, 2022",10:00p,Away,Dallas Mavericks,Win,Normal,106,105,19,6,W 4
2023,MIL,"Sun, Dec 11, 2022",7:00p,Away,Houston Rockets,Loss,Normal,92,97,19,7,L 1
2023,MIL,"Tue, Dec 13, 2022",7:30p,Home,Golden State Warriors,Win,Normal,128,111,20,7,W 1
2023,MIL,"Thu, Dec 15, 2022",8:00p,Away,Memphis Grizzlies,Loss,Normal,101,142,20,8,L 1
2023,MIL,"Sat, Dec 17, 2022",8:00p,Home,Utah Jazz,Win,Normal,123,97,21,8,W 1
2023,MIL,"Mon, Dec 19, 2022",8:00p,Away,New Orleans Pelicans,Win,Normal,128,119,22,8,W 2
2023,MIL,"Wed, Dec 21, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,106,114,22,9,L 1
2023,MIL,"Fri, Dec 23, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,100,118,22,10,L 2
2023,MIL,"Sun, Dec 25, 2022",5:00p,Away,Boston Celtics,Loss,Normal,118,139,22,11,L 3
2023,MIL,"Wed, Dec 28, 2022",8:00p,Away,Chicago Bulls,Loss,Overtime,113,119,22,12,L 4
2023,MIL,"Fri, Dec 30, 2022",8:00p,Home,Minnesota Timberwolves,Win,Normal,123,114,23,12,W 1
2023,MIL,"Sun, Jan 1, 2023",8:00p,Home,Washington Wizards,Loss,Normal,95,118,23,13,L 1
2023,MIL,"Tue, Jan 3, 2023",8:00p,Home,Washington Wizards,Win,Normal,123,113,24,13,W 1
2023,MIL,"Wed, Jan 4, 2023",7:30p,Away,Toronto Raptors,Win,Overtime,104,101,25,13,W 2
2023,MIL,"Fri, Jan 6, 2023",8:00p,Home,Charlotte Hornets,Loss,Normal,109,138,25,14,L 1
2023,MIL,"Mon, Jan 9, 2023",7:30p,Away,New York Knicks,Win,Normal,111,107,26,14,W 1
2023,MIL,"Wed, Jan 11, 2023",7:30p,Away,Atlanta Hawks,Win,Normal,114,105,27,14,W 2
2023,MIL,"Thu, Jan 12, 2023",7:30p,Away,Miami Heat,Loss,Normal,102,108,27,15,L 1
2023,MIL,"Sat, Jan 14, 2023",1:00p,Away,Miami Heat,Loss,Normal,95,111,27,16,L 2
2023,MIL,"Mon, Jan 16, 2023",2:30p,Home,Indiana Pacers,Win,Normal,132,119,28,16,W 1
2023,MIL,"Tue, Jan 17, 2023",7:30p,Home,Toronto Raptors,Win,Normal,130,122,29,16,W 2
2023,MIL,"Sat, Jan 21, 2023",7:30p,Away,Cleveland Cavaliers,Loss,Normal,102,114,29,17,L 1
2023,MIL,"Mon, Jan 23, 2023",7:00p,Away,Detroit Pistons,Win,Normal,150,130,30,17,W 1
2023,MIL,"Wed, Jan 25, 2023",8:00p,Home,Denver Nuggets,Win,Normal,107,99,31,17,W 2
2023,MIL,"Fri, Jan 27, 2023",7:00p,Away,Indiana Pacers,Win,Normal,141,131,32,17,W 3
2023,MIL,"Sun, Jan 29, 2023",8:00p,Home,New Orleans Pelicans,Win,Normal,135,110,33,17,W 4
2023,MIL,"Tue, Jan 31, 2023",8:00p,Home,Charlotte Hornets,Win,Normal,124,115,34,17,W 5
2023,MIL,"Thu, Feb 2, 2023",10:00p,Home,Los Angeles Clippers,Win,Normal,106,105,35,17,W 6
2023,MIL,"Sat, Feb 4, 2023",8:00p,Home,Miami Heat,Win,Normal,123,115,36,17,W 7
2023,MIL,"Mon, Feb 6, 2023",10:00p,Away,Portland Trail Blazers,Win,Normal,127,108,37,17,W 8
2023,MIL,"Thu, Feb 9, 2023",10:00p,Away,Los Angeles Lakers,Win,Normal,115,106,38,17,W 9
2023,MIL,"Fri, Feb 10, 2023",10:30p,Away,Los Angeles Clippers,Win,Normal,119,106,39,17,W 10
2023,MIL,"Tue, Feb 14, 2023",7:30p,Home,Boston Celtics,Win,Overtime,131,125,40,17,W 11
2023,MIL,"Thu, Feb 16, 2023",7:30p,Away,Chicago Bulls,Win,Normal,112,100,41,17,W 12
2023,MIL,"Fri, Feb 24, 2023",7:30p,Home,Miami Heat,Win,Normal,128,99,42,17,W 13
2023,MIL,"Sun, Feb 26, 2023",1:00p,Home,Phoenix Suns,Win,Normal,104,101,43,17,W 14
2023,MIL,"Tue, Feb 28, 2023",7:30p,Away,Brooklyn Nets,Win,Normal,118,104,44,17,W 15
2023,MIL,"Wed, Mar 1, 2023",8:00p,Home,Orlando Magic,Win,Normal,139,117,45,17,W 16
2023,MIL,"Sat, Mar 4, 2023",8:30p,Home,Philadelphia 76ers,Loss,Normal,130,133,45,18,L 1
2023,MIL,"Sun, Mar 5, 2023",7:30p,Away,Washington Wizards,Win,Normal,117,111,46,18,W 1
2023,MIL,"Tue, Mar 7, 2023",7:00p,Away,Orlando Magic,Win,Normal,134,123,47,18,W 2
2023,MIL,"Thu, Mar 9, 2023",8:00p,Home,Brooklyn Nets,Win,Normal,118,113,48,18,W 3
2023,MIL,"Sat, Mar 11, 2023",8:30p,Away,Golden State Warriors,Loss,Overtime,116,125,48,19,L 1
2023,MIL,"Mon, Mar 13, 2023",10:00p,Away,Sacramento Kings,Win,Normal,133,124,49,19,W 1
2023,MIL,"Tue, Mar 14, 2023",10:00p,Away,Phoenix Suns,Win,Normal,116,104,50,19,W 2
2023,MIL,"Thu, Mar 16, 2023",8:00p,Home,Indiana Pacers,Loss,Normal,123,139,50,20,L 1
