Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,NYK,"Wed, Oct 19, 2022",7:30p,Away,Memphis Grizzlies,Loss,Overtime,112,115,0,1,L 1
2023,NYK,"Fri, Oct 21, 2022",7:30p,Home,Detroit Pistons,Win,Normal,130,106,1,1,W 1
2023,NYK,"Mon, Oct 24, 2022",7:30p,Home,Orlando Magic,Win,Normal,115,102,2,1,W 2
2023,NYK,"Wed, Oct 26, 2022",7:30p,Home,Charlotte Hornets,Win,Overtime,134,131,3,1,W 3
2023,NYK,"Fri, Oct 28, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,108,119,3,2,L 1
2023,NYK,"Sun, Oct 30, 2022",6:00p,Away,Cleveland Cavaliers,Loss,Normal,108,121,3,3,L 2
2023,NYK,"Wed, Nov 2, 2022",7:30p,Home,Atlanta Hawks,Loss,Normal,99,112,3,4,L 3
2023,NYK,"Fri, Nov 4, 2022",7:00p,Away,Philadelphia 76ers,Win,Normal,106,104,4,4,W 1
2023,NYK,"Sat, Nov 5, 2022",7:30p,Home,Boston Celtics,Loss,Normal,118,133,4,5,L 1
2023,NYK,"Mon, Nov 7, 2022",9:15p,Away,Minnesota Timberwolves,Win,Normal,120,107,5,5,W 1
2023,NYK,"Wed, Nov 9, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,85,112,5,6,L 1
2023,NYK,"Fri, Nov 11, 2022",7:30p,Home,Detroit Pistons,Win,Normal,121,112,6,6,W 1
2023,NYK,"Sun, Nov 13, 2022",12:00p,Home,Oklahoma City Thunder,Loss,Normal,135,145,6,7,L 1
2023,NYK,"Tue, Nov 15, 2022",9:00p,Away,Utah Jazz,Win,Normal,118,111,7,7,W 1
2023,NYK,"Wed, Nov 16, 2022",10:00p,Away,Denver Nuggets,Win,Normal,106,103,8,7,W 2
2023,NYK,"Fri, Nov 18, 2022",10:00p,Away,Golden State Warriors,Loss,Normal,101,111,8,8,L 1
2023,NYK,"Sun, Nov 20, 2022",3:30p,Away,Phoenix Suns,Loss,Normal,95,116,8,9,L 2
2023,NYK,"Mon, Nov 21, 2022",8:00p,Away,Oklahoma City Thunder,Win,Normal,129,119,9,9,W 1
2023,NYK,"Fri, Nov 25, 2022",7:30p,Home,Portland Trail Blazers,Loss,Overtime,129,132,9,10,L 1
2023,NYK,"Sun, Nov 27, 2022",6:00p,Home,Memphis Grizzlies,Loss,Normal,123,127,9,11,L 2
2023,NYK,"Tue, Nov 29, 2022",7:00p,Away,Detroit Pistons,Win,Normal,140,110,10,11,W 1
2023,NYK,"Wed, Nov 30, 2022",7:30p,Home,Milwaukee Bucks,Loss,Normal,103,109,10,12,L 1
2023,NYK,"Sat, Dec 3, 2022",12:30p,Home,Dallas Mavericks,Loss,Normal,100,121,10,13,L 2
2023,NYK,"Sun, Dec 4, 2022",6:00p,Home,Cleveland Cavaliers,Win,Normal,92,81,11,13,W 1
2023,NYK,"Wed, Dec 7, 2022",7:30p,Home,Atlanta Hawks,Win,Normal,113,89,12,13,W 2
2023,NYK,"Fri, Dec 9, 2022",7:00p,Away,Charlotte Hornets,Win,Normal,121,102,13,13,W 3
2023,NYK,"Sun, Dec 11, 2022",6:00p,Home,Sacramento Kings,Win,Normal,112,99,14,13,W 4
