Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,ORL,"Wed, Oct 19, 2022",7:00p,Away,Detroit Pistons,Loss,Normal,109,113,0,1,L 1
2023,ORL,"Fri, Oct 21, 2022",7:30p,Away,Atlanta Hawks,Loss,Normal,98,108,0,2,L 2
2023,ORL,"Sat, Oct 22, 2022",7:00p,Home,Boston Celtics,Loss,Normal,120,126,0,3,L 3
2023,ORL,"Mon, Oct 24, 2022",7:30p,Away,New York Knicks,Loss,Normal,102,115,0,4,L 4
2023,ORL,"Wed, Oct 26, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,92,103,0,5,L 5
2023,ORL,"Fri, Oct 28, 2022",7:00p,Home,Charlotte Hornets,Win,Normal,113,93,1,5,W 1
2023,ORL,"Sun, Oct 30, 2022",7:30p,Away,Dallas Mavericks,Loss,Normal,105,114,1,6,L 1
2023,ORL,"Tue, Nov 1, 2022",8:00p,Away,Oklahoma City Thunder,Loss,Normal,108,116,1,7,L 2
2023,ORL,"Thu, Nov 3, 2022",7:00p,Home,Golden State Warriors,Win,Normal,130,129,2,7,W 1
2023,ORL,"Sat, Nov 5, 2022",5:00p,Home,Sacramento Kings,Loss,Overtime,123,126,2,8,L 1
2023,ORL,"Mon, Nov 7, 2022",7:15p,Home,Houston Rockets,Loss,Normal,127,134,2,9,L 2
2023,ORL,"Wed, Nov 9, 2022",5:30p,Home,Dallas Mavericks,Win,Normal,94,87,3,9,W 1
2023,ORL,"Fri, Nov 11, 2022",7:00p,Home,Phoenix Suns,Win,Normal,114,97,4,9,W 2
2023,ORL,"Mon, Nov 14, 2022",7:00p,Home,Charlotte Hornets,Loss,Normal,105,112,4,10,L 1
2023,ORL,"Wed, Nov 16, 2022",7:00p,Home,Minnesota Timberwolves,Loss,Normal,108,126,4,11,L 2
2023,ORL,"Fri, Nov 18, 2022",8:00p,Away,Chicago Bulls,Win,Normal,108,107,5,11,W 1
2023,ORL,"Sat, Nov 19, 2022",7:00p,Away,Indiana Pacers,Loss,Normal,113,114,5,12,L 1
2023,ORL,"Mon, Nov 21, 2022",7:00p,Away,Indiana Pacers,Loss,Normal,102,123,5,13,L 2
2023,ORL,"Fri, Nov 25, 2022",7:00p,Home,Philadelphia 76ers,Loss,Normal,99,107,5,14,L 3
2023,ORL,"Sun, Nov 27, 2022",6:00p,Home,Philadelphia 76ers,Loss,Normal,103,133,5,15,L 4
2023,ORL,"Mon, Nov 28, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,102,109,5,16,L 5
2023,ORL,"Wed, Nov 30, 2022",7:00p,Home,Atlanta Hawks,Loss,Normal,108,125,5,17,L 6
2023,ORL,"Fri, Dec 2, 2022",7:30p,Away,Cleveland Cavaliers,Loss,Normal,96,107,5,18,L 7
2023,ORL,"Sat, Dec 3, 2022",8:00p,Away,Toronto Raptors,Loss,Normal,108,121,5,19,L 8
2023,ORL,"Mon, Dec 5, 2022",7:00p,Home,Milwaukee Bucks,Loss,Normal,102,109,5,20,L 9
2023,ORL,"Wed, Dec 7, 2022",7:00p,Home,Los Angeles Clippers,Win,Overtime,116,111,6,20,W 1
2023,ORL,"Fri, Dec 9, 2022",7:00p,Home,Toronto Raptors,Win,Normal,113,109,7,20,W 2
2023,ORL,"Sun, Dec 11, 2022",6:00p,Home,Toronto Raptors,Win,Normal,111,99,8,20,W 3
2023,ORL,"Wed, Dec 14, 2022",7:00p,Home,Atlanta Hawks,Win,Normal,135,124,9,20,W 4
2023,ORL,"Fri, Dec 16, 2022",7:30p,Away,Boston Celtics,Win,Normal,117,109,10,20,W 5
2023,ORL,"Sun, Dec 18, 2022",3:00p,Away,Boston Celtics,Win,Normal,95,92,11,20,W 6
2023,ORL,"Mon, Dec 19, 2022",7:30p,Away,Atlanta Hawks,Loss,Normal,125,126,11,21,L 1
2023,ORL,"Wed, Dec 21, 2022",8:00p,Away,Houston Rockets,Win,Normal,116,110,12,21,W 1
2023,ORL,"Fri, Dec 23, 2022",7:00p,Home,San Antonio Spurs,Win,Normal,133,113,13,21,W 2
2023,ORL,"Tue, Dec 27, 2022",7:00p,Home,Los Angeles Lakers,Loss,Normal,110,129,13,22,L 1
2023,ORL,"Wed, Dec 28, 2022",7:00p,Away,Detroit Pistons,Loss,Normal,101,121,13,23,L 2
2023,ORL,"Fri, Dec 30, 2022",7:00p,Home,Washington Wizards,Loss,Normal,100,119,13,24,L 3
2023,ORL,"Wed, Jan 4, 2023",7:00p,Home,Oklahoma City Thunder,Win,Normal,126,115,14,24,W 1
