Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,PHI,"Tue, Oct 18, 2022",7:30p,Away,Boston Celtics,Loss,Normal,117,126,0,1,L 1
2023,PHI,"Thu, Oct 20, 2022",7:30p,Home,Milwaukee Bucks,Loss,Normal,88,90,0,2,L 2
2023,PHI,"Sat, Oct 22, 2022",6:00p,Home,San Antonio Spurs,Loss,Normal,105,114,0,3,L 3
2023,PHI,"Mon, Oct 24, 2022",7:00p,Home,Indiana Pacers,Win,Normal,120,106,1,3,W 1
2023,PHI,"Wed, Oct 26, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,109,119,1,4,L 1
2023,PHI,"Fri, Oct 28, 2022",7:30p,Away,Toronto Raptors,Win,Normal,112,90,2,4,W 1
2023,PHI,"Sat, Oct 29, 2022",8:00p,Away,Chicago Bulls,Win,Normal,114,109,3,4,W 2
2023,PHI,"Mon, Oct 31, 2022",7:00p,Away,Washington Wizards,Win,Normal,118,111,4,4,W 3
2023,PHI,"Wed, Nov 2, 2022",6:00p,Home,Washington Wizards,Loss,Normal,111,121,4,5,L 1
2023,PHI,"Fri, Nov 4, 2022",7:00p,Home,New York Knicks,Loss,Normal,104,106,4,6,L 2
2023,PHI,"Mon, Nov 7, 2022",8:00p,Home,Phoenix Suns,Win,Normal,100,88,5,6,W 1
2023,PHI,"Thu, Nov 10, 2022",7:30p,Away,Atlanta Hawks,Loss,Normal,95,104,5,7,L 1
2023,PHI,"Sat, Nov 12, 2022",7:30p,Home,Atlanta Hawks,Win,Normal,121,109,6,7,W 1
2023,PHI,"Sun, Nov 13, 2022",7:30p,Home,Utah Jazz,Win,Normal,105,98,7,7,W 2
2023,PHI,"Fri, Nov 18, 2022",7:30p,Home,Milwaukee Bucks,Win,Normal,110,102,8,7,W 3
2023,PHI,"Sat, Nov 19, 2022",7:30p,Home,Minnesota Timberwolves,Loss,Normal,109,112,8,8,L 1
2023,PHI,"Tue, Nov 22, 2022",7:30p,Home,Brooklyn Nets,Win,Normal,115,106,9,8,W 1
2023,PHI,"Wed, Nov 23, 2022",7:00p,Away,Charlotte Hornets,Loss,Normal,101,107,9,9,L 1
2023,PHI,"Fri, Nov 25, 2022",7:00p,Away,Orlando Magic,Win,Normal,107,99,10,9,W 1
2023,PHI,"Sun, Nov 27, 2022",6:00p,Away,Orlando Magic,Win,Normal,133,103,11,9,W 2
2023,PHI,"Mon, Nov 28, 2022",7:00p,Home,Atlanta Hawks,Win,Normal,104,101,12,9,W 3
2023,PHI,"Wed, Nov 30, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,85,113,12,10,L 1
2023,PHI,"Fri, Dec 2, 2022",8:00p,Away,Memphis Grizzlies,Loss,Normal,109,117,12,11,L 2
2023,PHI,"Mon, Dec 5, 2022",8:00p,Away,Houston Rockets,Loss,Normal,123,132,12,12,L 3
2023,PHI,"Fri, Dec 9, 2022",7:30p,Home,Los Angeles Lakers,Win,Overtime,133,122,13,12,W 1
2023,PHI,"Sun, Dec 11, 2022",6:00p,Home,Charlotte Hornets,Win,Normal,131,113,14,12,W 2
2023,PHI,"Tue, Dec 13, 2022",7:00p,Home,Sacramento Kings,Win,Normal,123,103,15,12,W 3
2023,PHI,"Fri, Dec 16, 2022",7:30p,Home,Golden State Warriors,Win,Normal,118,106,16,12,W 4
2023,PHI,"Mon, Dec 19, 2022",7:00p,Home,Toronto Raptors,Win,Overtime,104,101,17,12,W 5
2023,PHI,"Wed, Dec 21, 2022",7:00p,Home,Detroit Pistons,Win,Normal,113,93,18,12,W 6
2023,PHI,"Fri, Dec 23, 2022",7:00p,Home,Los Angeles Clippers,Win,Normal,119,114,19,12,W 7
2023,PHI,"Sun, Dec 25, 2022",12:00p,Away,New York Knicks,Win,Normal,119,112,20,12,W 8
2023,PHI,"Tue, Dec 27, 2022",7:00p,Away,Washington Wizards,Loss,Normal,111,116,20,13,L 1
2023,PHI,"Fri, Dec 30, 2022",8:30p,Away,New Orleans Pelicans,Loss,Normal,116,127,20,14,L 2
2023,PHI,"Sat, Dec 31, 2022",8:00p,Away,Oklahoma City Thunder,Win,Normal,115,96,21,14,W 1
2023,PHI,"Mon, Jan 2, 2023",7:00p,Home,New Orleans Pelicans,Win,Normal,120,111,22,14,W 2
2023,PHI,"Wed, Jan 4, 2023",7:00p,Home,Indiana Pacers,Win,Overtime,129,126,23,14,W 3
2023,PHI,"Fri, Jan 6, 2023",7:00p,Home,Chicago Bulls,Loss,Normal,112,126,23,15,L 1
2023,PHI,"Sun, Jan 8, 2023",3:00p,Away,Detroit Pistons,Win,Normal,123,111,24,15,W 1
2023,PHI,"Tue, Jan 10, 2023",7:00p,Home,Detroit Pistons,Win,Normal,147,116,25,15,W 2
2023,PHI,"Thu, Jan 12, 2023",7:00p,Home,Oklahoma City Thunder,Loss,Normal,114,133,25,16,L 1
2023,PHI,"Sat, Jan 14, 2023",9:00p,Away,Utah Jazz,Win,Normal,118,117,26,16,W 1
2023,PHI,"Sun, Jan 15, 2023",9:30p,Away,Los Angeles Lakers,Win,Normal,113,112,27,16,W 2
