Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,PHO,"Wed, Oct 19, 2022",10:00p,Home,Dallas Mavericks,Win,Normal,107,105,1,0,W 1
2023,PHO,"Fri, Oct 21, 2022",10:00p,Away,Portland Trail Blazers,Loss,Overtime,111,113,1,1,L 1
2023,PHO,"Sun, Oct 23, 2022",10:00p,Away,Los Angeles Clippers,Win,Normal,112,95,2,1,W 1
2023,PHO,"Tue, Oct 25, 2022",10:00p,Home,Golden State Warriors,Win,Normal,134,105,3,1,W 2
2023,PHO,"Fri, Oct 28, 2022",10:00p,Home,New Orleans Pelicans,Win,Normal,124,111,4,1,W 3
2023,PHO,"Sun, Oct 30, 2022",9:00p,Home,Houston Rockets,Win,Normal,124,109,5,1,W 4
2023,PHO,"Tue, Nov 1, 2022",10:00p,Home,Minnesota Timberwolves,Win,Normal,116,107,6,1,W 5
2023,PHO,"Fri, Nov 4, 2022",10:00p,Home,Portland Trail Blazers,Loss,Normal,106,108,6,2,L 1
2023,PHO,"Sat, Nov 5, 2022",10:00p,Home,Portland Trail Blazers,Win,Normal,102,82,7,2,W 1
2023,PHO,"Mon, Nov 7, 2022",8:00p,Away,Philadelphia 76ers,Loss,Normal,88,100,7,3,L 1
2023,PHO,"Wed, Nov 9, 2022",8:00p,Away,Minnesota Timberwolves,Win,Normal,129,117,8,3,W 1
2023,PHO,"Fri, Nov 11, 2022",7:00p,Away,Orlando Magic,Loss,Normal,97,114,8,4,L 1
2023,PHO,"Mon, Nov 14, 2022",7:30p,Away,Miami Heat,Loss,Normal,112,113,8,5,L 2
2023,PHO,"Wed, Nov 16, 2022",10:00p,Home,Golden State Warriors,Win,Normal,130,119,9,5,W 1
2023,PHO,"Fri, Nov 18, 2022",9:00p,Away,Utah Jazz,Loss,Normal,133,134,9,6,L 1
2023,PHO,"Sun, Nov 20, 2022",3:30p,Home,New York Knicks,Win,Normal,116,95,10,6,W 1
2023,PHO,"Tue, Nov 22, 2022",10:00p,Home,Los Angeles Lakers,Win,Normal,115,105,11,6,W 2
2023,PHO,"Fri, Nov 25, 2022",9:00p,Home,Detroit Pistons,Win,Normal,108,102,12,6,W 3
2023,PHO,"Sat, Nov 26, 2022",9:00p,Home,Utah Jazz,Win,Normal,113,112,13,6,W 4
2023,PHO,"Mon, Nov 28, 2022",10:00p,Away,Sacramento Kings,Win,Normal,122,117,14,6,W 5
2023,PHO,"Wed, Nov 30, 2022",9:00p,Home,Chicago Bulls,Win,Normal,132,113,15,6,W 6
2023,PHO,"Fri, Dec 2, 2022",9:00p,Home,Houston Rockets,Loss,Normal,121,122,15,7,L 1
2023,PHO,"Sun, Dec 4, 2022",4:00p,Away,San Antonio Spurs,Win,Normal,133,95,16,7,W 1
2023,PHO,"Mon, Dec 5, 2022",8:30p,Away,Dallas Mavericks,Loss,Normal,111,130,16,8,L 1
2023,PHO,"Wed, Dec 7, 2022",10:00p,Home,Boston Celtics,Loss,Normal,98,125,16,9,L 2
2023,PHO,"Fri, Dec 9, 2022",8:30p,Away,New Orleans Pelicans,Loss,Normal,117,128,16,10,L 3
2023,PHO,"Sun, Dec 11, 2022",3:30p,Away,New Orleans Pelicans,Loss,Overtime,124,129,16,11,L 4
2023,PHO,"Tue, Dec 13, 2022",8:00p,Away,Houston Rockets,Loss,Normal,97,111,16,12,L 5
2023,PHO,"Thu, Dec 15, 2022",10:30p,Away,Los Angeles Clippers,Win,Normal,111,95,17,12,W 1
2023,PHO,"Sat, Dec 17, 2022",9:00p,Home,New Orleans Pelicans,Win,Normal,118,114,18,12,W 2
2023,PHO,"Mon, Dec 19, 2022",9:00p,Home,Los Angeles Lakers,Win,Normal,130,104,19,12,W 3
2023,PHO,"Tue, Dec 20, 2022",9:00p,Home,Washington Wizards,Loss,Normal,110,113,19,13,L 1
2023,PHO,"Fri, Dec 23, 2022",10:00p,Home,Memphis Grizzlies,Loss,Normal,100,125,19,14,L 2
2023,PHO,"Sun, Dec 25, 2022",10:30p,Away,Denver Nuggets,Loss,Overtime,125,128,19,15,L 3
2023,PHO,"Tue, Dec 27, 2022",8:00p,Away,Memphis Grizzlies,Win,Normal,125,108,20,15,W 1
2023,PHO,"Wed, Dec 28, 2022",7:00p,Away,Washington Wizards,Loss,Normal,102,127,20,16,L 1
2023,PHO,"Fri, Dec 30, 2022",7:30p,Away,Toronto Raptors,Loss,Normal,104,113,20,17,L 2
2023,PHO,"Mon, Jan 2, 2023",3:00p,Away,New York Knicks,Loss,Normal,83,102,20,18,L 3
2023,PHO,"Wed, Jan 4, 2023",7:00p,Away,Cleveland Cavaliers,Loss,Normal,88,90,20,19,L 4
2023,PHO,"Fri, Jan 6, 2023",10:00p,Home,Miami Heat,Loss,Normal,96,104,20,20,L 5
2023,PHO,"Sun, Jan 8, 2023",8:00p,Home,Cleveland Cavaliers,Loss,Normal,98,112,20,21,L 6
2023,PHO,"Tue, Jan 10, 2023",10:00p,Away,Golden State Warriors,Win,Normal,125,113,21,21,W 1
2023,PHO,"Wed, Jan 11, 2023",10:00p,Away,Denver Nuggets,Loss,Normal,97,126,21,22,L 1
2023,PHO,"Fri, Jan 13, 2023",8:00p,Away,Minnesota Timberwolves,Loss,Normal,116,121,21,23,L 2
2023,PHO,"Mon, Jan 16, 2023",6:00p,Away,Memphis Grizzlies,Loss,Normal,106,136,21,24,L 3
2023,PHO,"Thu, Jan 19, 2023",10:00p,Home,Brooklyn Nets,Win,Normal,117,112,22,24,W 1
2023,PHO,"Sat, Jan 21, 2023",9:00p,Home,Indiana Pacers,Win,Normal,112,107,23,24,W 2
2023,PHO,"Sun, Jan 22, 2023",8:00p,Home,Memphis Grizzlies,Win,Normal,112,110,24,24,W 3
2023,PHO,"Tue, Jan 24, 2023",9:00p,Home,Charlotte Hornets,Win,Normal,128,97,25,24,W 4
2023,PHO,"Thu, Jan 26, 2023",10:00p,Home,Dallas Mavericks,Loss,Normal,95,99,25,25,L 1
2023,PHO,"Sat, Jan 28, 2023",8:00p,Away,San Antonio Spurs,Win,Overtime,128,118,26,25,W 1
2023,PHO,"Mon, Jan 30, 2023",9:00p,Home,Toronto Raptors,Win,Normal,114,106,27,25,W 2
2023,PHO,"Wed, Feb 1, 2023",10:00p,Home,Atlanta Hawks,Loss,Normal,100,132,27,26,L 1
2023,PHO,"Fri, Feb 3, 2023",7:30p,Away,Boston Celtics,Win,Normal,106,94,28,26,W 1
2023,PHO,"Sat, Feb 4, 2023",7:00p,Away,Detroit Pistons,Win,Normal,116,100,29,26,W 2
2023,PHO,"Tue, Feb 7, 2023",7:30p,Away,Brooklyn Nets,Win,Normal,116,112,30,26,W 3
2023,PHO,"Thu, Feb 9, 2023",7:30p,Away,Atlanta Hawks,Loss,Normal,107,116,30,27,L 1
2023,PHO,"Fri, Feb 10, 2023",7:00p,Away,Indiana Pacers,Win,Normal,117,104,31,27,W 1
2023,PHO,"Tue, Feb 14, 2023",9:00p,Home,Sacramento Kings,Win,Normal,120,109,32,27,W 2
2023,PHO,"Thu, Feb 16, 2023",10:00p,Home,Los Angeles Clippers,Loss,Normal,107,116,32,28,L 1
2023,PHO,"Fri, Feb 24, 2023",10:00p,Home,Oklahoma City Thunder,Win,Normal,124,115,33,28,W 1
2023,PHO,"Sun, Feb 26, 2023",1:00p,Away,Milwaukee Bucks,Loss,Normal,101,104,33,29,L 1
2023,PHO,"Wed, Mar 1, 2023",7:00p,Away,Charlotte Hornets,Win,Normal,105,91,34,29,W 1
2023,PHO,"Fri, Mar 3, 2023",8:00p,Away,Chicago Bulls,Win,Normal,125,104,35,29,W 2
2023,PHO,"Sun, Mar 5, 2023",1:00p,Away,Dallas Mavericks,Win,Normal,130,126,36,29,W 3
2023,PHO,"Wed, Mar 8, 2023",9:00p,Home,Oklahoma City Thunder,Win,Normal,132,101,37,29,W 4
2023,PHO,"Sat, Mar 11, 2023",9:00p,Home,Sacramento Kings,Loss,Normal,119,128,37,30,L 1
2023,PHO,"Mon, Mar 13, 2023",10:00p,Away,Golden State Warriors,Loss,Normal,112,123,37,31,L 2
2023,PHO,"Tue, Mar 14, 2023",10:00p,Home,Milwaukee Bucks,Loss,Normal,104,116,37,32,L 3
2023,PHO,"Thu, Mar 16, 2023",10:00p,Home,Orlando Magic,Win,Normal,116,113,38,32,W 1
2023,PHO,"Sun, Mar 19, 2023",3:30p,Away,Oklahoma City Thunder,Loss,Normal,120,124,38,33,L 1
2023,PHO,"Wed, Mar 22, 2023",10:00p,Away,Los Angeles Lakers,Loss,Normal,111,122,38,34,L 2
2023,PHO,"Fri, Mar 24, 2023",10:00p,Away,Sacramento Kings,Loss,Normal,127,135,38,35,L 3
2023,PHO,"Sat, Mar 25, 2023",10:00p,Home,Philadelphia 76ers,Win,Normal,125,105,39,35,W 1
2023,PHO,"Mon, Mar 27, 2023",9:00p,Away,Utah Jazz,Win,Normal,117,103,40,35,W 2
2023,PHO,"Wed, Mar 29, 2023",10:00p,Home,Minnesota Timberwolves,Win,Normal,107,100,41,35,W 3
2023,PHO,"Fri, Mar 31, 2023",10:30p,Home,Denver Nuggets,Win,Normal,100,93,42,35,W 4
2023,PHO,"Sun, Apr 2, 2023",7:00p,Away,Oklahoma City Thunder,Win,Normal,128,118,43,35,W 5
2023,PHO,"Tue, Apr 4, 2023",10:00p,Home,San Antonio Spurs,Win,Normal,115,94,44,35,W 6
2023,PHO,"Thu, Apr 6, 2023",10:00p,Home,Denver Nuggets,Win,Normal,119,115,45,35,W 7
2023,PHO,"Fri, Apr 7, 2023",10:30p,Away,Los Angeles Lakers,Loss,Normal,107,121,45,36,L 1
2023,PHO,"Sun, Apr 9, 2023",3:30p,Home,Los Angeles Clippers,Loss,Normal,114,119,45,37,L 2
