Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,SAS,"Wed, Oct 19, 2022",8:00p,Home,Charlotte Hornets,Loss,Normal,102,129,0,1,L 1
2023,SAS,"Fri, Oct 21, 2022",7:00p,Away,Indiana Pacers,Win,Normal,137,134,1,1,W 1
2023,SAS,"Sat, Oct 22, 2022",6:00p,Away,Philadelphia 76ers,Win,Normal,114,105,2,1,W 2
2023,SAS,"Mon, Oct 24, 2022",8:00p,Away,Minnesota Timberwolves,Win,Normal,115,106,3,1,W 3
2023,SAS,"Wed, Oct 26, 2022",8:00p,Away,Minnesota Timberwolves,Loss,Normal,122,134,3,2,L 1
2023,SAS,"Fri, Oct 28, 2022",8:30p,Home,Chicago Bulls,Win,Normal,129,124,4,2,W 1
2023,SAS,"Sun, Oct 30, 2022",7:00p,Home,Minnesota Timberwolves,Win,Normal,107,98,5,2,W 2
2023,SAS,"Wed, Nov 2, 2022",8:00p,Home,Toronto Raptors,Loss,Normal,100,143,5,3,L 1
2023,SAS,"Fri, Nov 4, 2022",8:00p,Home,Los Angeles Clippers,Loss,Normal,106,113,5,4,L 2
2023,SAS,"Sat, Nov 5, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,101,126,5,5,L 3
2023,SAS,"Mon, Nov 7, 2022",9:30p,Home,Denver Nuggets,Loss,Normal,109,115,5,6,L 4
2023,SAS,"Wed, Nov 9, 2022",8:00p,Home,Memphis Grizzlies,Loss,Overtime,122,124,5,7,L 5
2023,SAS,"Fri, Nov 11, 2022",8:00p,Home,Milwaukee Bucks,Win,Normal,111,93,6,7,W 1
2023,SAS,"Mon, Nov 14, 2022",10:00p,Away,Golden State Warriors,Loss,Normal,95,132,6,8,L 1
2023,SAS,"Tue, Nov 15, 2022",10:00p,Away,Portland Trail Blazers,Loss,Normal,110,117,6,9,L 2
2023,SAS,"Thu, Nov 17, 2022",10:00p,Away,Sacramento Kings,Loss,Normal,112,130,6,10,L 3
2023,SAS,"Sat, Nov 19, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,97,119,6,11,L 4
2023,SAS,"Sun, Nov 20, 2022",9:30p,Away,Los Angeles Lakers,Loss,Normal,92,123,6,12,L 5
2023,SAS,"Wed, Nov 23, 2022",8:00p,Home,New Orleans Pelicans,Loss,Normal,110,129,6,13,L 6
2023,SAS,"Fri, Nov 25, 2022",8:00p,Home,Los Angeles Lakers,Loss,Normal,94,105,6,14,L 7
2023,SAS,"Sat, Nov 26, 2022",8:00p,Home,Los Angeles Lakers,Loss,Normal,138,143,6,15,L 8
2023,SAS,"Wed, Nov 30, 2022",8:00p,Away,Oklahoma City Thunder,Loss,Normal,111,119,6,16,L 9
2023,SAS,"Fri, Dec 2, 2022",8:00p,Home,New Orleans Pelicans,Loss,Normal,99,117,6,17,L 10
2023,SAS,"Sun, Dec 4, 2022",4:00p,Home,Phoenix Suns,Loss,Normal,95,133,6,18,L 11
