Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,TOR,"Wed, Oct 19, 2022",7:30p,Home,Cleveland Cavaliers,Win,Normal,108,105,1,0,W 1
2023,TOR,"Fri, Oct 21, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,105,109,1,1,L 1
2023,TOR,"Sat, Oct 22, 2022",8:00p,Away,Miami Heat,Loss,Normal,109,112,1,2,L 2
2023,TOR,"Mon, Oct 24, 2022",7:30p,Away,Miami Heat,Win,Normal,98,90,2,2,W 1
2023,TOR,"Wed, Oct 26, 2022",7:30p,Home,Philadelphia 76ers,Win,Normal,119,109,3,2,W 2
2023,TOR,"Fri, Oct 28, 2022",7:30p,Home,Philadelphia 76ers,Loss,Normal,90,112,3,3,L 1
2023,TOR,"Mon, Oct 31, 2022",7:30p,Home,Atlanta Hawks,Win,Normal,139,109,4,3,W 1
2023,TOR,"Wed, Nov 2, 2022",8:00p,Away,San Antonio Spurs,Win,Normal,143,100,5,3,W 2
2023,TOR,"Fri, Nov 4, 2022",8:30p,Away,Dallas Mavericks,Loss,Normal,110,111,5,4,L 1
2023,TOR,"Sun, Nov 6, 2022",6:00p,Home,Chicago Bulls,Win,Normal,113,104,6,4,W 1
2023,TOR,"Mon, Nov 7, 2022",8:45p,Away,Chicago Bulls,Loss,Normal,97,111,6,5,L 1
2023,TOR,"Wed, Nov 9, 2022",7:30p,Home,Houston Rockets,Win,Normal,116,109,7,5,W 1
2023,TOR,"Fri, Nov 11, 2022",8:00p,Away,Oklahoma City Thunder,Loss,Normal,113,132,7,6,L 1
2023,TOR,"Sat, Nov 12, 2022",7:00p,Away,Indiana Pacers,Loss,Normal,104,118,7,7,L 2
2023,TOR,"Mon, Nov 14, 2022",7:00p,Away,Detroit Pistons,Win,Normal,115,111,8,7,W 1
2023,TOR,"Wed, Nov 16, 2022",7:30p,Home,Miami Heat,Win,Normal,112,104,9,7,W 2
2023,TOR,"Sat, Nov 19, 2022",6:00p,Away,Atlanta Hawks,Loss,Overtime,122,124,9,8,L 1
2023,TOR,"Wed, Nov 23, 2022",7:30p,Home,Brooklyn Nets,Loss,Normal,98,112,9,9,L 2
2023,TOR,"Sat, Nov 26, 2022",5:00p,Home,Dallas Mavericks,Win,Normal,105,100,10,9,W 1
2023,TOR,"Mon, Nov 28, 2022",7:30p,Home,Cleveland Cavaliers,Win,Normal,100,88,11,9,W 2
2023,TOR,"Wed, Nov 30, 2022",8:00p,Away,New Orleans Pelicans,Loss,Normal,108,126,11,10,L 1
2023,TOR,"Fri, Dec 2, 2022",7:30p,Away,Brooklyn Nets,Loss,Normal,105,114,11,11,L 2
2023,TOR,"Sat, Dec 3, 2022",8:00p,Home,Orlando Magic,Win,Normal,121,108,12,11,W 1
2023,TOR,"Mon, Dec 5, 2022",7:30p,Home,Boston Celtics,Loss,Normal,110,116,12,12,L 1
2023,TOR,"Wed, Dec 7, 2022",7:30p,Home,Los Angeles Lakers,Win,Normal,126,113,13,12,W 1
