Season,Team,Game Date,Start Time,Location,Opponent,Outcome,Game Length,Team Score,Opponent Score,Wins,Losses,Win/Loss Streak
2023,UTA,"Wed, Oct 19, 2022",9:00p,Home,Denver Nuggets,Win,Normal,123,102,1,0,W 1
2023,UTA,"Fri, Oct 21, 2022",8:00p,Away,Minnesota Timberwolves,Win,Overtime,132,126,2,0,W 2
2023,UTA,"Sun, Oct 23, 2022",7:00p,Away,New Orleans Pelicans,Win,Overtime,122,121,3,0,W 3
2023,UTA,"Mon, Oct 24, 2022",8:00p,Away,Houston Rockets,Loss,Normal,108,114,3,1,L 1
2023,UTA,"Wed, Oct 26, 2022",9:00p,Home,Houston Rockets,Win,Normal,109,101,4,1,W 1
2023,UTA,"Fri, Oct 28, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,101,117,4,2,L 1
2023,UTA,"Sat, Oct 29, 2022",9:00p,Home,Memphis Grizzlies,Win,Normal,124,123,5,2,W 1
2023,UTA,"Mon, Oct 31, 2022",9:00p,Home,Memphis Grizzlies,Win,Normal,121,105,6,2,W 2
2023,UTA,"Wed, Nov 2, 2022",8:30p,Away,Dallas Mavericks,Loss,Normal,100,103,6,3,L 1
2023,UTA,"Fri, Nov 4, 2022",10:30p,Away,Los Angeles Lakers,Win,Normal,130,116,7,3,W 1
2023,UTA,"Sun, Nov 6, 2022",10:00p,Away,Los Angeles Clippers,Win,Normal,110,102,8,3,W 2
2023,UTA,"Mon, Nov 7, 2022",10:15p,Home,Los Angeles Lakers,Win,Normal,139,116,9,3,W 3
2023,UTA,"Wed, Nov 9, 2022",7:30p,Away,Atlanta Hawks,Win,Normal,125,119,10,3,W 4
2023,UTA,"Sat, Nov 12, 2022",6:00p,Away,Washington Wizards,Loss,Normal,112,121,10,4,L 1
2023,UTA,"Sun, Nov 13, 2022",7:30p,Away,Philadelphia 76ers,Loss,Normal,98,105,10,5,L 2
2023,UTA,"Tue, Nov 15, 2022",9:00p,Home,New York Knicks,Loss,Normal,111,118,10,6,L 3
2023,UTA,"Fri, Nov 18, 2022",9:00p,Home,Phoenix Suns,Win,Normal,134,133,11,6,W 1
2023,UTA,"Sat, Nov 19, 2022",10:00p,Away,Portland Trail Blazers,Win,Normal,118,113,12,6,W 2
2023,UTA,"Mon, Nov 21, 2022",10:30p,Away,Los Angeles Clippers,Loss,Normal,114,121,12,7,L 1
2023,UTA,"Wed, Nov 23, 2022",9:00p,Home,Detroit Pistons,Loss,Normal,116,125,12,8,L 2
2023,UTA,"Fri, Nov 25, 2022",10:00p,Away,Golden State Warriors,Loss,Normal,118,129,12,9,L 3
2023,UTA,"Sat, Nov 26, 2022",9:00p,Away,Phoenix Suns,Loss,Normal,112,113,12,10,L 4
2023,UTA,"Mon, Nov 28, 2022",9:00p,Home,Chicago Bulls,Loss,Normal,107,114,12,11,L 5
2023,UTA,"Wed, Nov 30, 2022",9:00p,Home,Los Angeles Clippers,Win,Normal,125,112,13,11,W 1
2023,UTA,"Fri, Dec 2, 2022",9:00p,Home,Indiana Pacers,Win,Normal,139,119,14,11,W 2
2023,UTA,"Sat, Dec 3, 2022",9:00p,Home,Portland Trail Blazers,Loss,Normal,111,116,14,12,L 1
2023,UTA,"Wed, Dec 7, 2022",9:00p,Home,Golden State Warriors,Win,Normal,124,123,15,12,W 1
2023,UTA,"Fri, Dec 9, 2022",9:00p,Home,Minnesota Timberwolves,Loss,Normal,108,118,15,13,L 1
2023,UTA,"Sat, Dec 10, 2022",9:00p,Away,Denver Nuggets,Loss,Normal,110,115,15,14,L 2
2023,UTA,"Tue, Dec 13, 2022",9:00p,Home,New Orleans Pelicans,Win,Normal,121,100,16,14,W 1
2023,UTA,"Thu, Dec 15, 2022",9:00p,Home,New Orleans Pelicans,Win,Overtime,132,129,17,14,W 2
2023,UTA,"Sat, Dec 17, 2022",8:00p,Away,Milwaukee Bucks,Loss,Normal,97,123,17,15,L 1
2023,UTA,"Mon, Dec 19, 2022",7:00p,Away,Cleveland Cavaliers,Loss,Normal,99,122,17,16,L 2
2023,UTA,"Tue, Dec 20, 2022",7:00p,Away,Detroit Pistons,Win,Normal,126,111,18,16,W 1
2023,UTA,"Thu, Dec 22, 2022",9:00p,Home,Washington Wizards,Win,Normal,120,112,19,16,W 2
2023,UTA,"Mon, Dec 26, 2022",8:00p,Away,San Antonio Spurs,Loss,Normal,122,126,19,17,L 1
