Team Code,Team Nickname,City,State,Conference
LAL,Lakers,Los Angeles,California,Western
LAC,Clippers,Los Angeles,California,Western
SAC,Kings,Sacramento,California,Western
GSW,Warriors,Golden State,California,Western
POR,Trailblazers,Portland,Oregon,Western
PHO,Suns,Phoenix,Arizona,Western
UTA,Jazz,Utah,Utah,Western
DEN,Nuggets,Denver,Colorado,Western
OKC,Thunder,Oklahoma City,Oklahoma,Western
SAS,Spurs,San Antonio,Texas,Western
DAL,Mavericks,Dallas,Texas,Western
HOU,Rockets,Houston,Texas,Western
NOP,Pelicans,New Orleans,Louisiana,Western
CHI,Bulls,Chicago,Illinois,Eastern
MIL,Bucks,Milwaukee,Wisconsin,Eastern
DET,Pistons,Detroit,Michigan,Eastern
IND,Pacers,Indiana,Indiana,Eastern
MEM,Grizzlies,Memphis,Tennessee,Western
ORL,Magic,Orlando,Florida,Eastern
MIA,Heat,Miami,Florida,Eastern
ATL,Hawks,Atlanta,Georgia,Eastern
WAS,Wizards,Washington,District of Columbia,Eastern
PHI,76ers,Philadelphia,Pennsylvania,Eastern
BRK,Nets,Brooklyn,New York,Eastern
NYK,Knicks,New York,New York,Eastern
BOS,Celtics,Boston,Massachusetts,Eastern
TOR,Raptors,Toronto,Ontario,Eastern
CLE,Cavaliers,Cleveland,Ohio,Eastern
MIN,Timberwolves,Minnesota,Minnesota,Western
CHO,Hornets,Charlotte,North Carolina,Eastern
